epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,14255.3,1.23084,0.85571,1.38947,0.90079,0.88526,0.92366,0.60009,1.3397,0.61612,1.55371,0.003367,0.003367,0.003367
69,14456.7,1.22387,0.84921,1.38237,0.89837,0.88455,0.92478,0.60058,1.3387,0.61221,1.55255,0.003268,0.003268,0.003268
70,14658.3,1.22211,0.84092,1.37981,0.91337,0.8803,0.92664,0.59911,1.33774,0.61337,1.55679,0.003169,0.003169,0.003169
71,14858.7,1.22019,0.84059,1.38364,0.90104,0.88525,0.92552,0.60069,1.336,0.61272,1.5549,0.00307,0.00307,0.00307
72,15059.5,1.2183,0.84084,1.37692,0.88887,0.89527,0.92639,0.60324,1.33094,0.60805,1.55233,0.002971,0.002971,0.002971
73,15260.6,1.21031,0.82157,1.36879,0.89858,0.88629,0.92623,0.60388,1.33389,0.60477,1.55361,0.002872,0.002872,0.002872
74,15467.8,1.19734,0.827,1.36454,0.89616,0.89035,0.92754,0.60521,1.33091,0.6013,1.55308,0.002773,0.002773,0.002773
75,15673.6,1.199,0.81395,1.36446,0.89665,0.89456,0.92555,0.60533,1.33231,0.60448,1.5503,0.002674,0.002674,0.002674
76,15877.5,1.18684,0.81428,1.36466,0.8987,0.88887,0.9258,0.60457,1.33167,0.60625,1.55266,0.002575,0.002575,0.002575
77,16082.8,1.19946,0.80612,1.36462,0.89749,0.89144,0.92833,0.60503,1.3299,0.60052,1.54906,0.002476,0.002476,0.002476
78,16287.6,1.18122,0.79737,1.35085,0.88959,0.90081,0.92894,0.60638,1.33144,0.59804,1.54996,0.002377,0.002377,0.002377
79,16489.5,1.18151,0.79024,1.35116,0.89745,0.89225,0.92839,0.6049,1.33013,0.59778,1.55066,0.002278,0.002278,0.002278
80,16687.9,1.1853,0.79194,1.35627,0.89538,0.89701,0.92826,0.60598,1.33214,0.59762,1.5518,0.002179,0.002179,0.002179
81,16888.1,1.18334,0.79131,1.35565,0.89598,0.89547,0.92961,0.60555,1.33228,0.59373,1.55124,0.00208,0.00208,0.00208
82,17095.2,1.17103,0.78897,1.35066,0.88758,0.89806,0.92777,0.60507,1.33107,0.59262,1.55111,0.001981,0.001981,0.001981
83,17296.8,1.16872,0.76797,1.34383,0.88991,0.89413,0.92676,0.60415,1.33066,0.59432,1.55276,0.001882,0.001882,0.001882
84,17498.3,1.16253,0.76943,1.34125,0.89208,0.89835,0.92723,0.60463,1.33088,0.59166,1.55362,0.001783,0.001783,0.001783
85,17700.9,1.16071,0.77462,1.34084,0.89317,0.89638,0.92788,0.60406,1.33405,0.59316,1.55948,0.001684,0.001684,0.001684
86,17912.3,1.15423,0.76273,1.33498,0.89877,0.89751,0.92962,0.60443,1.33378,0.59104,1.56008,0.001585,0.001585,0.001585
87,18130.4,1.14588,0.74903,1.32956,0.8999,0.89542,0.92881,0.60525,1.3337,0.58974,1.56215,0.001486,0.001486,0.001486
88,18352.3,1.14201,0.74741,1.3307,0.90454,0.89565,0.92867,0.60707,1.33246,0.58829,1.56137,0.001387,0.001387,0.001387
89,18575.1,1.14335,0.75272,1.33176,0.90485,0.89601,0.92984,0.6057,1.33457,0.58815,1.56349,0.001288,0.001288,0.001288
90,18796.9,1.14202,0.75144,1.33077,0.89765,0.90424,0.93122,0.60768,1.33374,0.58891,1.56311,0.001189,0.001189,0.001189
91,19036.5,1.05728,0.52186,1.32899,0.9046,0.89394,0.92979,0.6067,1.33482,0.5872,1.56316,0.00109,0.00109,0.00109
92,19254,1.03526,0.50128,1.31139,0.89013,0.90165,0.92813,0.60587,1.33582,0.5874,1.56504,0.000991,0.000991,0.000991
93,19474.7,1.02283,0.4969,1.30512,0.89944,0.89884,0.92829,0.60435,1.33477,0.58969,1.56414,0.000892,0.000892,0.000892
94,19697,1.01652,0.49003,1.29545,0.89777,0.89876,0.92793,0.60436,1.33403,0.5911,1.565,0.000793,0.000793,0.000793
95,19917.8,1.01244,0.48801,1.30155,0.8979,0.90021,0.92724,0.60298,1.3349,0.59022,1.56815,0.000694,0.000694,0.000694
96,20134.7,0.99432,0.47698,1.28234,0.89553,0.8998,0.92704,0.60233,1.33652,0.5912,1.57227,0.000595,0.000595,0.000595
97,20352.3,0.99631,0.47706,1.28186,0.8972,0.90015,0.92766,0.60191,1.33758,0.59258,1.57479,0.000496,0.000496,0.000496
98,20568.5,0.99084,0.47353,1.28487,0.89806,0.89692,0.9277,0.60199,1.33812,0.59168,1.57626,0.000397,0.000397,0.000397
99,20784.5,0.97713,0.46591,1.27337,0.91153,0.88338,0.92708,0.60206,1.339,0.59233,1.57818,0.000298,0.000298,0.000298
100,21000,0.97254,0.46534,1.26958,0.91178,0.88348,0.92646,0.60121,1.34012,0.59387,1.58142,0.000199,0.000199,0.000199
